City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,necochea,-38.5473,-58.7368,22.41,89,100,3.9,AR,1678862107
238,bilibino,68.0546,166.4372,-13.85,97,100,0.97,RU,1678861996
239,ust-nera,64.5667,143.2,-8.36,96,99,1.49,RU,1678862325
240,mayo,38.8876,-76.5119,1.73,60,100,10.29,US,1678862326
241,malkangiri,18.35,81.9,38.56,14,7,0.91,IN,1678862326
242,severo-kurilsk,50.6789,156.125,0.28,97,99,4.53,RU,1678862071
243,tasiilaq,65.6145,-37.6368,-12.91,67,100,1.53,GL,1678862012
244,kangaatsiaq,68.3065,-53.4641,-13.21,82,100,4.99,GL,1678862328
245,cuamba,-14.8031,36.5372,20.37,97,100,1.5,MZ,1678862328
246,galiakot,23.5167,74.0,35.93,10,99,3.07,IN,1678862329
247,bonthe,7.5264,-12.505,24.29,92,27,2.16,SL,1678862330
248,yuzhno-kurilsk,44.0306,145.8556,1.11,82,32,1.99,RU,1678862330
249,xuddur,4.1213,43.8894,29.75,48,89,7.06,SO,1678862331
250,antofagasta,-23.65,-70.4,20.6,87,3,0.18,CL,1678862331
251,saldanha,-33.0117,17.9442,19.74,83,1,1.55,ZA,1678862051
252,weatherford,32.7593,-97.7972,11.03,65,17,3.46,US,1678862270
253,jalu,29.0331,21.5482,16.66,38,0,4.85,LY,1678862333
254,changli,39.7042,119.1506,9.3,10,0,6.53,CN,1678862334
255,cimarron hills,38.8586,-104.6989,9.8,33,75,4.12,US,1678862335
256,khatanga,71.9667,102.5,-8.71,93,100,5.02,RU,1678862128
257,kvam,61.6656,9.6898,-10.62,89,10,2.58,NO,1678862336
258,souillac,-20.5167,57.5167,28.21,61,40,7.72,MU,1678862336
259,saint-philippe,-21.3585,55.7679,28.77,71,44,6.05,RE,1678862016
260,road town,18.4167,-64.6167,26.05,76,39,6.09,VG,1678861918
261,sheridan,44.8333,-106.9173,1.84,76,0,2.06,US,1678862338
262,upernavik,72.7868,-56.1549,-18.38,85,100,2.11,GL,1678862339
263,macheng,31.1783,115.0319,24.55,30,0,5.84,CN,1678862339
264,tazovskiy,67.4667,78.7,-7.66,85,91,7.21,RU,1678862340
265,lebyazhye,55.2689,66.4947,-4.26,88,11,5.72,RU,1678862341
266,lebu,-37.6167,-73.65,14.05,85,100,5.05,CL,1678862104
267,curillo,1.0333,-75.9191,21.13,99,100,1.11,CO,1678862342
268,berdigestyakh,62.0989,126.6992,-8.55,90,100,3.19,RU,1678862343
269,marshall,34.3834,-86.3333,1.99,69,0,3.6,US,1678862327
270,harnosand,62.6323,17.9379,-13.99,81,97,3.65,SE,1678862345
271,pirayu,-25.4833,-57.2333,23.96,98,20,2.0,PY,1678862345
272,adrar,20.5022,-10.0711,23.97,13,2,5.44,MR,1678861994
273,yumen,40.2833,97.2,10.23,24,51,3.27,CN,1678862347
274,ilinge,-31.9768,27.0427,22.13,52,6,0.61,ZA,1678862347
275,chapais,49.7834,-74.8492,-11.12,96,61,3.16,CA,1678861969
276,nevesinje,43.2586,18.1133,3.48,95,100,2.49,BA,1678862349
277,swinoujscie,53.9105,14.2471,1.19,93,75,5.14,PL,1678862349
278,guerrero negro,27.9769,-114.0611,15.63,83,100,5.26,MX,1678862078
279,karatuzskoye,53.6072,92.8667,1.32,79,5,1.23,RU,1678862350
280,lasa,46.6166,10.7002,4.27,84,48,3.7,IT,1678862351
281,kenai,60.5544,-151.2583,-6.59,58,100,6.69,US,1678862352
282,severobaykalsk,55.65,109.3167,-9.17,69,23,0.93,RU,1678862353
283,elko,41.0002,-115.5012,4.01,88,100,7.15,US,1678862153
284,freeport,40.6576,-73.5832,2.77,67,20,10.8,US,1678862337
285,vardo,70.3705,31.1107,-2.01,100,100,6.17,NO,1678862355
286,ichinohe,40.2069,141.3017,9.67,55,74,1.65,JP,1678862355
287,la seyne-sur-mer,43.0982,5.8847,10.97,66,100,4.92,FR,1678861920
288,macapa,0.0389,-51.0664,23.99,100,100,2.06,BR,1678862357
289,borgarnes,64.5383,-21.9206,-8.97,72,0,4.72,IS,1678862358
290,yulara,-25.2406,130.9889,38.33,10,5,2.21,AU,1678862359
291,sorland,67.667,12.6934,-0.08,59,54,11.13,NO,1678862098
292,monrovia,6.3005,-10.7969,21.87,84,67,2.72,LR,1678862360
293,panlaitan,12.1191,119.8486,27.14,68,75,2.55,PH,1678862361
294,bhinmal,25.0,72.25,33.36,11,100,1.81,IN,1678862033
295,eskil,38.4017,33.4131,6.52,78,100,2.07,TR,1678862362
296,punuare,14.7333,-85.9667,21.68,96,100,0.4,HN,1678862363
297,lingao,19.9103,109.6859,26.41,60,73,7.21,CN,1678862363
298,olinda,-8.0089,-34.8553,25.85,78,40,2.06,BR,1678862127
299,lorengau,-2.0226,147.2712,27.89,79,100,3.06,PG,1678862365
300,starogard gdanski,53.964,18.5264,2.03,76,100,5.66,PL,1678862366
301,valparaiso,-33.0393,-71.6273,19.44,63,0,1.03,CL,1678861975
302,chiang klang,19.2938,100.8617,36.41,23,38,1.68,TH,1678862367
303,westport,41.1415,-73.3579,2.83,81,0,7.72,US,1678862190
304,chifeng,42.2683,118.9636,1.17,12,5,10.5,CN,1678862369
305,miles city,46.4083,-105.8406,1.54,69,100,4.63,US,1678862369
306,plettenberg bay,-34.0527,23.3716,19.95,91,100,0.91,ZA,1678862370
307,mezen,65.8522,44.24,1.5,100,100,4.97,RU,1678862371
308,daru,-9.0763,143.2092,28.35,76,100,2.19,PG,1678862372
309,ubrique,36.6778,-5.446,11.0,47,0,2.22,ES,1678861829
310,ancud,-41.8697,-73.8203,8.79,88,100,3.56,CL,1678862373
311,beringovskiy,63.05,179.3167,-16.28,85,100,0.81,RU,1678862144
312,pevek,69.7008,170.3133,-22.8,91,11,3.41,RU,1678862072
313,belgrade,44.804,20.4651,8.55,61,0,2.57,RS,1678862217
314,waipawa,-41.4122,175.5153,12.52,86,13,2.2,NZ,1678862375
315,puro,12.4841,123.3827,28.95,67,100,4.2,PH,1678862376
316,zhukovka,53.534,33.728,4.0,87,100,5.74,RU,1678862377
317,arlit,18.7369,7.3853,24.92,13,0,2.51,NE,1678862378
318,kaeo,-35.1,173.7833,19.07,77,2,1.72,NZ,1678862379
319,podosinovets,60.2776,47.0659,1.28,97,100,5.45,RU,1678862379
